REF_ID,DATA_ID,DATA_TYPE,GAME_ID,DATA_SOURCE_TYPE,THESIS_TYPE,REF_TAG,AUTH_L_NAME,AUTH_SUFFIX,AUTH_F_NAME,AUTH_M_INIT,YEAR_PUB,TITLE_REF,EDITOR_L_NAME,EDITOR_F_NAME,EDITOR_M_INIT,SOURCE_NAME,VOL,NUM,START_PAGE,END_PAGE,DOI,PUB_NAME,PUB_CITY,PUB_STATE,PUB_COUNTRY,UNIV_NAME,UNIV_CITY,UNIV_STATE,UNIV_COUNTRY,REF_NOTES,LANGUAGE,DATA_POLY_SHAPEFILE_ID,DATA_CENT_SHAPEFILE_ID,DATA_STAT_SHAPEFILE_ID,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_3N,ACT_3N,pred/prey,2951,PL,NA,Naughton and Saloman 1981,Naughton,NA,Steven,P,1981,Stomach contents of Juveniles of king mackerel (Scomberomorus cavalla) and Spanish mackerel (S. maculatus),NA,NA,NA,Northeast Gulf Science,5,1,71,74,NA,Marine Environmental Sciences Consortium of Alabama,Mobile Bay,AL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,6/3/2016,Rebecca Lund,NA,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_3N,ACT_3N,pred/prey,2951,PL,NA,Naughton and Saloman 1981,Saloman,NA,Carl,H,1981,Stomach contents of Juveniles of king mackerel (Scomberomorus cavalla) and Spanish mackerel (S. maculatus),NA,NA,NA,Northeast Gulf Science,5,1,71,74,NA,Marine Environmental Sciences Consortium of Alabama,Mobile Bay,AL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,6/3/2016,Rebecca Lund,NA,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_31P,ACT_31P,pred/prey,2997,GR,NA,Pullen1962,Pullen,NA,Edward,J,1962,A study of the marsh and marine plants in upper Galveston and Trinity Bays,NA,NA,NA,Marine Fisheries Project Report,NA,NA,1,6,NA,Texas Game and Fish Commission Marine Laboratory,Rockport,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,6/3/2016,Rebecca Lund,NA,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_2I,ACT_2I,pred/prey,2803,GR,NA,Inglis 1959,Inglis,NA,Anthony,NA,1959,Predation of Shrimp,NA,NA,NA,Galveston Biological Laboratory Fishery Research,62,NA,50,53,NA,United States Department of the interior,Washington D.C.,NA,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/2/2016,Rebecca Lund,10/6/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_15P,ACT_15P,pred/prey,2982,PR,NA,Perschbacher and Strawn 1986,Perschbacher,NA,Peter,W.,1986,"Feeding selectivity and standing stocks of Fundulus grandis in an artificial, brackishwater pond, with comments on Cyprinodon variegatus",NA,NA,NA,Contributions in Marine Science,29,NA,103,111,NA,Contributions in Marine Science,Port Aransas,Texas,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/16/2016,Rebecca Lund,10/12/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_15P,ACT_15P,pred/prey,2982,PR,NA,Perschbacher and Strawn 1987,Strawn,NA,Kirk,NA,1986,"Feeding selectivity and standing stocks of Fundulus grandis in an artificial, brackishwater pond, with comments on Cyprinodon variegatus",NA,NA,NA,Contributions in Marine Science,29,NA,103,111,NA,Contributions in Marine Science,Port Aransas,Texas,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/16/2016,Rebecca Lund,10/12/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_1R,ACT_1R,pred/prey,3002,PR,NA,Raney 1942,Raney,NA,Edward,C,1942,Alligator Gar Feeds Upon Birds of Texas,NA,NA,NA,Copeia,1942,1,50,50,NA,American Society of Ichthyologists and Herpetologists,Laurence,Kansas,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/14/2016,Rebecca Lund,10/12/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_11R,ACT_11R,pred/prey,3012,GR,NA,Robinson 1948,Robinson,NA,L,N,1948,"Annual Report of the Game, Fish and Oyster Commission for the Years 1946-47 and 1947-48",NA,NA,NA,Texas Game and Fish Commision,NA,NA,37,39,NA,Texas Parks and Wildlife,Austin,Texas,US,NA,NA,NA,NA,NA,English,NA,NA,NA,9/13/2016,Rebecca Lund,10/12/2016,Rebecca Lund,12/12/2016,Theresa Mitchell
ACT_24B,ACT_24B,pred/prey,2556,PL,NA,Benefield 1970,Benefield,NA,Richard,L,1970,A Study of Sand Seatrout (Cynoscion arenarius Ginsburg) of the Galveston Bay Area,NA,NA,NA,Texas Parks and Wildlife Report,NA,NA,217,225,NA,Texas Parks and Wildlife,Seabrook,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,10/28/2016,Rebecca Lund,1/9/2017,Theresa Mitchell
ACT_49B,ACT_49B,pred/prey,2583,PL,NA,Breuer 1962,Breuer,NA,Joseph,P,1962,"An Ecological Survey of the Lower Laguna Madre of Texas, 1953-1959",NA,NA,NA,Contributions in Marine Science,8,50,153,183,NA,UT Marine Science institute,Port Aransas,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,10/28/2016,Rebecca Lund,1/9/2017,Theresa Mitchell
ACT_8F,ACT_8F,pred/prey,2709,PL,NA,Finucane et al 1990,Finucane,H,John,NA,1990,Diets of Young King and Spanish Mackerel off the Southeast United States,NA,NA,NA,Northeast Gulf Science,11,2,145,153,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
ACT_8F,ACT_8F,pred/prey,2709,PL,NA,Finucane et al 1991,Grimes,B,Churchill,NA,1990,Diets of Young King and Spanish Mackerel off the Southeast United States,NA,NA,NA,Northeast Gulf Science,11,2,145,153,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
ACT_8F,ACT_8F,pred/prey,2709,PL,NA,Finucane et al 1992,Naughton,P,Steven,NA,1990,Diets of Young King and Spanish Mackerel off the Southeast United States,NA,NA,NA,Northeast Gulf Science,11,2,145,153,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
AVE_1B,AVE_1B,pred/prey,NA,PL,NA,Ballard et al 2004,Ballard,NA,Bart,M,2004,Diet and Nutrition of Northern Pintails Wintering Along the Southern Coast of Texas,NA,NA,NA,Journal of Wildlife Management,68,2,371,382,NA,John Wiley & Sons Inc,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/21/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
AVE_1B,AVE_1B,pred/prey,NA,PL,NA,Ballard et al 2004,Thompson,NA,Jonathan,E,2004,Diet and Nutrition of Northern Pintails Wintering Along the Southern Coast of Texas,NA,NA,NA,Journal of Wildlife Management,68,2,371,382,NA,John Wiley & Sons Inc,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/21/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
AVE_1B,AVE_1B,pred/prey,NA,PL,NA,Ballard et al 2004,Petrie,NA,Mark,J,2004,Diet and Nutrition of Northern Pintails Wintering Along the Southern Coast of Texas,NA,NA,NA,Journal of Wildlife Management,68,2,371,382,NA,John Wiley & Sons Inc,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/21/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
AVE_1B,AVE_1B,pred/prey,NA,PL,NA,Ballard et al 2004,Chekett,NA,Michael,NA,2004,Diet and Nutrition of Northern Pintails Wintering Along the Southern Coast of Texas,NA,NA,NA,Journal of Wildlife Management,68,2,371,382,NA,John Wiley & Sons Inc,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/21/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
AVE_1B,AVE_1B,pred/prey,NA,PL,NA,Ballard et al 2004,Hewitt,NA,David,G,2004,Diet and Nutrition of Northern Pintails Wintering Along the Southern Coast of Texas,NA,NA,NA,Journal of Wildlife Management,68,2,371,382,NA,John Wiley & Sons Inc,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/21/2016,Rebecca Lund,12/28/2016,Theresa Mitchell,1/9/2017,Theresa Mitchell
ACT_57M,ACT_57M,pred/prey,2930,PL,NA,Moffett et al 1979,Moffett,NA,A,W,1979,"Observations on the biology of sand seatrout (Cynoscion arenarius) in Galveston and Trinity Bays, Texas",NA,NA,NA,NA,22,NA,163,172,NA,University of Texas Marine Science Institute,Port Aransas,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/20/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
ACT_57M,ACT_57M,pred/prey,2931,PL,NA,Moffett et al 1979,McEachron,NA,L,W,1979,"Observations on the biology of sand seatrout (Cynoscion arenarius) in Galveston and Trinity Bays, Texas",NA,NA,NA,Contributions in Marine Science,22,NA,163,172,NA,University of Texas Marine Science Institute,Port Aransas,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/20/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
ACT_57M,ACT_57M,pred/prey,2932,PL,NA,Moffett et al 1979,Key,NA,J,G,1979,"Observations on the biology of sand seatrout (Cynoscion arenarius) in Galveston and Trinity Bays, Texas",NA,NA,NA,Contributions in Marine Science,22,NA,163,172,NA,University of Texas Marine Science Institute,Port Aransas,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/20/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1F,MAM_1F,pred/prey,NA,PL,NA,Fertl et al 1997,Fertl,NA,Dagmar,NA,1997,"Stranding of a Cuvier's Beaked Whale (Ziphius cavirostris) in Southern Texas, with comments on stomach contents",NA,NA,NA,Gulf of Mexico Science,15,2,92,93,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,"Research done for Marine Mammal Research Program, Texas A&M University at Galveston",English,NA,NA,NA,2/24/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1F,MAM_1F,pred/prey,NA,PL,NA,Fertl et al 1997,Schiro,NA,A,J,1997,"Stranding of a Cuvier's Beaked Whale (Ziphius cavirostris) in Southern Texas, with comments on stomach contents",NA,NA,NA,Gulf of Mexico Science,15,2,92,93,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,"Research done for Marine Mammal Research Program, Texas A&M University at Galveston",English,NA,NA,NA,2/24/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1F,MAM_1F,pred/prey,NA,PL,NA,Fertl et al 1997,Collier,NA,S,NA,1997,"Stranding of a Cuvier's Beaked Whale (Ziphius cavirostris) in Southern Texas, with comments on stomach contents",NA,NA,NA,Gulf of Mexico Science,15,2,92,93,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,"Research done for Marine Mammal Research Program, Texas A&M University at Galveston",English,NA,NA,NA,2/24/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1F,MAM_1F,pred/prey,NA,PL,NA,Fertl et al 1997,Worthy,NA,Graham,AJ,1997,"Stranding of a Cuvier's Beaked Whale (Ziphius cavirostris) in Southern Texas, with comments on stomach contents",NA,NA,NA,Gulf of Mexico Science,15,2,92,93,NA,Marine Environmental Sciences Consortium of Alabama,Dauphin Island,AL,US,NA,NA,NA,NA,"Research done for Marine Mammal Research Program, Texas A&M University at Galveston",English,NA,NA,NA,2/24/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_2G,MAM_2G,pred/prey,NA,PL,NA,Gunter 1942,Gunter,NA,Gordan,NA,1942,"Contributions to the natural history of the bottle-nose dolphin, Tursiops truncatus (Montague), on the Texas Coast, with particular reference to food habits",NA,NA,NA,Journal of Mammology,23,3,267,276,NA,American Society of Mammologists,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,1/30/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1K,MAM_1K,pred/prey,NA,GR,NA,Kemp 1949,Kemp,NA,Robert,J,1949,"Report on stomach analysis from June 1, 1949 through August 31, 1949",NA,NA,NA,Marine Laboratory Annual Report 1948-1949,NA,NA,100,127,NA,"Texas Game, Fish, and Oyster Commission",NA,TX,US,NA,NA,NA,NA,"Same ACT_5K. Texas Coastal and Marine Council was abolished Sept. 1, 1985.",English,NA,NA,NA,3/6/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_2M,MAM_2M,pred/prey,NA,PL,NA,Miller 1992,Miller,NA,W,George,1992,"An investigation of bottlenose dolphin Tursiops truncatus deaths in East Matagorda Bay, Texas, January 1990",NA,NA,NA,Fishery Bulletin,90,4,791,797,NA,National Marine Fisheries Service Scientific Publications Office,Seattle,WA,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/13/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1R,MAM_1R,pred/prey,NA,PL,NA,Raun et al 1970,Raun,NA,Gerald,G,1970,"Pygmy Sperm Whales, Genus Kogia, on the Texas Coast",NA,NA,NA,The Texas Journal of Science,21,3,269,274,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/23/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1R,MAM_1R,pred/prey,NA,PL,NA,Raun et al 1970,Hoese,NA,H,Dickson,1970,"Pygmy Sperm Whales, Genus Kogia, on the Texas Coast",NA,NA,NA,The Texas Journal of Science,21,3,269,274,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/23/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
MAM_1R,MAM_1R,pred/prey,NA,PL,NA,Raun et al 1970,Moseley,NA,Frank,NA,1970,"Pygmy Sperm Whales, Genus Kogia, on the Texas Coast",NA,NA,NA,The Texas Journal of Science,21,3,269,274,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/23/2017,Savannah Borrowman,4/3/2017,Savannah Borrowman,4/26/2017,Theresa Mitchell
ART_3D,ART_3D,pred/prey,NA,GR,NA,Day 1959,Day,NA,D,S,1959,Study of the diet of the brown shrimp,NA,NA,NA,Marine Fisheries Division  Project Reports for 1958-1959,NA,NA,1,1,NA,Texas Game and Fish Comission,Austin,TX,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/27/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ART_9P,ART_9P,pred/prey,NA,PL,NA,Powell and Gunter 1947,Powell,Jr.,Earnest,H,1947,"Observations on the stone crab Menippe mercenaria Say, In the Vicinity of Port Aransas, Texas",NA,NA,NA,Gulf Research Reports,2,3,285,299,NA,Gulf Coast Reserch Laboratory,Ocean Springs,MS,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/27/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ART_9P,ART_9P,pred/prey,NA,PL,NA,Powell and Gunter 1947,Gunter,NA,Gordon,NA,1947,"Observations on the stone crab Menippe mercenaria Say, In the Vicinity of Port Aransas, Texas",NA,NA,NA,Gulf Research Reports,2,3,285,299,NA,Gulf Coast Reserch Laboratory,Ocean Springs,MS,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/27/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ACT_7R,ACT_7R,pred/prey,3008,PL,NA,Reid et al 1956,Reid,NA,George,K,1956,"Summer Foods of Some Fish Species in East Bay, Texas",NA,NA,NA,The Southwestern Naturalist,1,3,100,104,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/2/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ACT_7R,ACT_7R,pred/prey,3008,PL,NA,Reid et al 1956,Inglis,NA,Anthony,NA,1956,"Summer Foods of Some Fish Species in East Bay, Texas",NA,NA,NA,The Southwestern Naturalist,1,3,100,104,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/2/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ACT_7R,ACT_7R,pred/prey,3008,PL,NA,Reid et al 1956,Hoese,NA,Hinton,D,1956,"Summer Foods of Some Fish Species in East Bay, Texas",NA,NA,NA,The Southwestern Naturalist,1,3,100,104,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/2/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
ART_1T,ART_1T,pred/prey,NA,T,PhD,Turner 1977,Turner,NA,Jefferson,T,1977,Trophodynamic studies of four Gulf of Mexico copepods and their fecal pellets,NA,NA,NA,NA,NA,NA,1,24,NA,NA,NA,NA,NA,Texas A&M University,College Station,TX,US,NA,English,NA,NA,NA,2/2/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
REP_3P,REP_3P,pred/prey,NA,PL,NA,Plotkin 1996,Plotkin,NA,Pamela,T,1996,"Occurrence and Diet of Juvenile Loggerhead Sea Turtles, Caretta caretta, in the Northwestern Gulf of Mexico",NA,NA,NA,Chelonian Conservation and Biology,2,1,78,80,NA,Chelonian Research Foundation,Lunenburg,MA,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/3/2017,Erin Mawhinney,2/6/2017,Erin Mawhinney,5/3/2017,Theresa Mitchell
AVE_6H,AVE_6H,pred/prey,NA,PL,NA,Hunt and Slack 1989,Hunt,NA,Howard,E,1989,Winter diets of whooping and sandhill cranes in south Texas,NA,NA,NA,The Journal of Wildlife Management,34,3,338,343,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/20/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_6H,AVE_6H,pred/prey,NA,PL,NA,Hunt and Slack 1989,Slack,NA,R,D,1989,Winter diets of whooping and sandhill cranes in south Texas,NA,NA,NA,The Journal of Wildlife Management,53,4,1150,1154,NA,The Wildlife Society,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/25/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_2G,AVE_2G,pred/prey,NA,PL,NA,Glazener 1946,Glazener,NA,W,C,1946,Food habits of wild geese on the gulf coast of Texas,NA,NA,NA,The Journal of Wildlife Management,10,4,322,329,NA,The Wildlife Society,Hoboken,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/26/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_1K,AVE_1K,pred/prey,NA,PL,NA,King 1989,King,NA,Kirke,A,1989,"Food habits and organochlorine contaminants in the diet of olivaceous cormorants in Galveston Bay, Texas",NA,NA,NA,The Southwestern Naturalist,34,3,338,343,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,1/20/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_2K,AVE_2K,pred/prey,NA,T,MS,Koenig 1969,Koenig,NA,Robert,L,1969,A Comparison of the winter food habits of three species of waterfowl from the Upper Laguna Madre of Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Texas A&M University,College Station,TX,US,NA,English,NA,NA,NA,2/22/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_4M,AVE_4M,pred/prey,NA,PL,NA,Michot et al 2008,Michot,NA,T,C,2008,Food habits of redheads (Aythya americana) wintering in seagrass beds of coastal Louisiana and Texas,NA,NA,NA,Acta Zoologica Academiae Scientiarum Hungaricae,54,1,239,250,NA,Hungarian Academy of Sciences,Budapest,Budapest,Hungary,NA,NA,NA,NA,NA,English,NA,NA,NA,1/26/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_4M,AVE_4M,pred/prey,NA,PL,NA,Michot et al 2008,Woodin,NA,M,C,2008,Food habits of redheads (Aythya americana) wintering in seagrass beds of coastal Louisiana and Texas,NA,NA,NA,Acta Zoologica Academiae Scientiarum Hungaricae,54,1,239,250,NA,Hungarian Academy of Sciences,Budapest,Budapest,Hungary,NA,NA,NA,NA,NA,English,NA,NA,NA,1/26/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_4M,AVE_4M,pred/prey,NA,PL,NA,Michot et al 2008,Nault,NA,A,J,2008,Food habits of redheads (Aythya americana) wintering in seagrass beds of coastal Louisiana and Texas,NA,NA,NA,Acta Zoologica Academiae Scientiarum Hungaricae,54,1,239,250,NA,Hungarian Academy of Sciences,Budapest,Budapest,Hungary,NA,NA,NA,NA,NA,English,NA,NA,NA,1/26/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_3T,AVE_3T,pred/prey,NA,PL,NA,Tietje and Teer 1996,Tietje,NA,W,D,1996,Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. ,NA,NA,NA,The Journal of Wildlife Management,60,4,843,855,NA,The Wildlife Society,Hoboken ,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/1/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
AVE_3T,AVE_3T,pred/prey,NA,PL,NA,Tietje and Teer 1996,Teer,NA,J,G,1996,Winter feeding ecology of northern shovelers on freshwater and saline wetlands in south Texas. ,NA,NA,NA,The Journal of Wildlife Management,60,4,843,855,NA,The Wildlife Society,Hoboken ,NJ,US,NA,NA,NA,NA,NA,English,NA,NA,NA,2/1/2017,Michael Brode,3/24/2017,Michael Brode,4/24/2017,Theresa Mitchell
ACT_25D,ACT_25D,pred/prey,2690,T,MS,"Dixon, 1974",Dixon,NA,Claude,A,1974,"A Study of Food Habits of Two Species of Silverside, Menidia beryllina (Cope) and Membras martinica (Valenciennes), In Upper Galveston Bay, Texas",NA,NA,NA,NA,NA,NA,1,52,NA,NA,NA,NA,NA,Texas A&M University,College Station,TX,US,NA,English,NA,NA,NA,6/21/2017,Gavyn Shealy,6/21/2017,Gavyn Shealy,6/26/2017,Theresa Mitchell
ACT_15A,ACT_15A,pred/prey,2520,PL,NA,"Alexander,1983",Alexander,NA,Steve,K,1983,"Summer Diet of Finfish From Nearshore Habitats of West Bay, Texas ",NA,NA,NA,The Texas Journal of Science,35,1,93,95,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English ,NA,NA,NA,1/20/2017,Tarah Murray ,2/22/2017,Tarah Murray ,5/2/2017,Theresa Mitchell
ACT_10B,ACT_10B,pred/prey,2545,T,MS,Barry 1996,Barry,NA,Kevin,P,1996,"Feeding Habits of Blacktip Sharks, Carcharhinus limbatus, and Atlantic Sharpnose Sharks, Rhizoprionodon terraenovae, in Louisiana Coastal Waters",NA,NA,NA,NA,NA,NA,1,72,NA,NA,NA,NA,NA,Louisiana State University,Baton Rouge,LA,US,data included are from raw data contributed by author,English,NA,NA,NA,3/1/2015,Theresa Mitchell,5/22/2015,Theresa Mitchell,8/31/2016,Theresa Mitchell
ACT_27C,ACT_27C,pred/prey,2619,PL,NA,"Cate and Evans, 1994",Cate,NA,Alta,S,1994,Taphonomic Significance of the Biomechanical Fragmentation of Live Molluscan Shell Material by a Bottom-feeding Fish (Pogonias cromis) in Texas Coastal Bays,NA,NA,NA,Palaios,9,NA,254,274,NA,Society of Economic Paleontologists and Mineralogists,Tulsa,OK,US,NA,NA,NA,NA,reference focused on mollusks as prey only,English,NA,NA,NA,3/1/2015,Theresa Mitchell,5/22/2015,Theresa Mitchell,8/31/2016,Theresa Mitchell
ACT_27C,ACT_27C,pred/prey,2619,PL,NA,"Cate and Evans, 1994",Evans,NA,Ian,NA,1994,Taphonomic Significance of the Biomechanical Fragmentation of Live Molluscan Shell Material by a Bottom-feeding Fish (Pogonias cromis) in Texas Coastal Bays,NA,NA,NA,Palaios,9,NA,254,274,NA,Society of Economic Paleontologists and Mineralogists,Tulsa,OK,US,NA,NA,NA,NA,reference focused on mollusks as prey only,English,NA,NA,NA,3/1/2015,Theresa Mitchell,5/22/2015,Theresa Mitchell,8/31/2016,Theresa Mitchell
ACT_67C,ACT_67C,pred/prey,2660,T,PhD,Czapla 1991,Czapla,NA,Thomas,E,1991,Diets and Prey Selection of Pinfish and Southern Flounder in a Halodule wrightii Seagrass Meadow,NA,NA,NA,NA,NA,NA,1,92,NA,NA,NA,NA,NA,Texas A&M University,College Station,TX,US,NA,English,NA,NA,NA,11/18/2016,Rebecca Lund,3/15/2017,Theresa Mitchell,3/22/2017,Theresa Mitchell
ACT_15M,ACT_15M,pred/prey,2889,PL,NA,Martin 1970,Martin,NA,F,NA,1970,Feeding habits of Cyprinodon variegatus (Cyprinodontidae) from the Texas Coast,NA,NA,NA,Southwestern Naturalist,14,,368,369,NA,Southwestern Association of Naturalists,Norman,OK,US,NA,NA,NA,NA,NA,English,NA,NA,NA,10/22/2016,Rebecca Lund,10/28/2016,Rebecca Lund,1/9/2017,Theresa Mitchell
ACT_6R,ACT_6R,pred/prey,3007,PL,NA,"Reid, 1956",Reid,NA,George,K,1956,Ecological Investigation in a Disturbed Texas Costal Estuary,NA,NA,NA,Texas Journal of Science,NA,NA,296,327,NA,Texas Academy of Science,Lubbock,TX,US,NA,NA,NA,NA,NA,English ,NA,NA,NA,9/2/2016,Frederike Davis,2/22/2017,Tarah Murray ,5/2/2017,Theresa Mitchell
ACT_60S,ACT_60S,pred/prey,3095,CP,NA,Stickney and McGeachin 1978,Stickney,NA,Robert,R,1978,Food Habits of Fishes Associated with Marshland Developed on Dredged Material,NA,NA,NA,Southeastern Association of Fish and Wildlife Agencies,32,NA,547,560,NA,Southeastern Association of Fish and Wildlife Agencies,Jackson,MS,US,NA,NA,NA,NA,NA,English,NA,NA,NA,11/4/2016,Rebecca Lund,3/15/2017,Theresa Mitchell,3/22/2017,Theresa Mitchell
ACT_60S,ACT_60S,pred/prey,3095,CP,NA,Stickney and McGeachin 1978,McGeachin,NA,Robert,B,1978,Food Habits of Fishes Associated with Marshland Developed on Dredged Material,NA,NA,NA,Southeastern Association of Fish and Wildlife Agencies,32,NA,547,560,NA,Southeastern Association of Fish and Wildlife Agencies,Jackson,MS,US,NA,NA,NA,NA,NA,English,NA,NA,NA,11/4/2016,Rebecca Lund,3/15/2017,Theresa Mitchell,3/22/2017,Theresa Mitchell
